Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Fuel injection
Mini COOPER S CLUBMAN,51,2,4,6,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER S CLUBMAN ALL4,70,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER S CLUBMAN ALL4,71,2,4,6,Manual,24,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER S COUNTRYMAN,60,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER S COUNTRYMAN ALL4,62,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Mini COOPER S COUNTRYMAN ALL4,63,2,4,6,Manual,24,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Mini JCW COUNTRYMAN ALL4,86,2,4,8,Automatic,25,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Mini JCW COUNTRYMAN ALL4,87,2,4,6,Manual,24,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Mini JOHN COOPER WORKS CLUBMAN ALL4,80,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Mini JOHN COOPER WORKS CLUBMAN ALL4,81,2,4,6,Manual,24,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
NISSAN ALTIMA,23,2.5,4,1,CVT,31,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
NISSAN ALTIMA,41,3.5,6,7,CVT,26,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
NISSAN ALTIMA SR,21,2.5,4,7,CVT,30,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
NISSAN MAXIMA,45,3.5,6,7,CVT,25,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Multipoint/sequential ignition
NISSAN SENTRA,128,1.6,4,7,CVT,29,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Premium Unleaded Recommended,2,2,Direct ignition
NISSAN SENTRA,126,1.6,4,6,Manual,28,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Premium Unleaded Recommended,2,2,Direct ignition
NISSAN SENTRA,9,1.8,4,1,CVT,32,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
NISSAN SENTRA,6,1.8,4,6,Manual,30,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
NISSAN SENTRA NISMO,129,1.6,4,7,CVT,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Premium Unleaded Recommended,2,2,Direct ignition
NISSAN SENTRA NISMO,127,1.6,4,6,Manual,27,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Premium Unleaded Recommended,2,2,Direct ignition
Rolls-Royce Motor Cars Limited Wraith,7,6.6,12,8,Automatic,14,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
Subaru IMPREZA 4-Door,5,2,4,7,CVT,32,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
Subaru IMPREZA 4-Door,3,2,4,5,Manual,27,Naturally Aspirated,N,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
Subaru IMPREZA SPORT 4-Door,30,2,4,7,CVT,30,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
Subaru IMPREZA SPORT 4-Door,29,2,4,5,Manual,26,Naturally Aspirated,N,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
Subaru LEGACY,8,2.5,4,7,CVT,29,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Subaru LEGACY,13,3.6,6,6,CVT,23,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA AVALON,49,3.5,6,6,Automatic,24,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA AVALON HYBRID,48,2.5,4,6,CVT,40,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA CAMRY,22,2.5,4,8,Automatic,34,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
TOYOTA CAMRY,43,3.5,6,8,Automatic,26,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
TOYOTA CAMRY HYBRID LE,14,2.5,4,6,CVT,52,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
TOYOTA CAMRY HYBRID XLE/SE,15,2.5,4,6,CVT,46,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
TOYOTA CAMRY LE/SE,45,2.5,4,8,Automatic,32,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
TOYOTA CAMRY XLE/XSE,46,2.5,4,8,Automatic,32,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
TOYOTA CAMRY XSE,44,3.5,6,8,Automatic,26,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
TOYOTA COROLLA,28,1.8,4,1,CVT,32,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA COROLLA,29,1.8,4,7,CVT,31,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA COROLLA,30,1.8,4,6,Manual,30,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA COROLLA iM,51,1.8,4,7,CVT,31,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA COROLLA iM,52,1.8,4,6,Manual,30,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA COROLLA LE ECO,31,1.8,4,1,CVT,34,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA COROLLA LE ECO,32,1.8,4,1,CVT,33,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA PRIUS,74,1.8,4,1,CVT,52,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
TOYOTA PRIUS Eco,75,1.8,4,1,CVT,56,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Volkswagen Passat,39,2,4,6,Automatic,29,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Volkswagen Passat,54,3.6,6,6,Manual,22,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
"Volvo Cars of North America, LLC S90 AWD",119,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
"Volvo Cars of North America, LLC S90 AWD",118,2,4,8,Automatic,25,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
"Volvo Cars of North America, LLC S90 FWD",117,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,Direct ignition
Audi A8L,36,3,6,8,Automatic,22,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Audi A8L,58,4,8,8,Automatic,19,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
BMW 330i xDrive Gran Turismo,326,2,4,8,Automatic,27,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 340i xDrive Gran Turismo,343,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 640i xDrive Gran Turismo,646,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 740i,741,3,6,8,Automatic,24,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 740i xDrive,742,3,6,8,Automatic,23,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 750i,750,4.4,8,8,Automatic,20,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW 750i xDrive,753,4.4,8,8,Automatic,19,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW Alpina B7 xDrive,757,4.4,8,8,Automatic,19,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW M760i xDrive,760,6.6,12,8,Automatic,16,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
BMW X1 sDrive28i,152,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
BMW X1 xDrive28i,150,2,4,8,Automatic,25,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
Buick REGAL,32,2,4,9,Automatic,26,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,Direct ignition
Buick REGAL AWD,34,2,4,8,Automatic,24,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Buick REGAL AWD,235,3.6,6,9,Automatic,22,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
Cadillac CT6,111,2,4,8,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Cadillac CT6 AWD,82,3,6,8,Automatic,21,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Cadillac CT6 AWD,68,3.6,6,8,Automatic,21,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
Cadillac XTS,331,3.6,6,6,Automatic,22,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Cadillac XTS AWD,353,3.6,6,6,Automatic,20,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
Cadillac XTS AWD,98,3.6,6,6,Automatic,18,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Chevrolet IMPALA,79,2.5,4,6,Automatic,25,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Chevrolet IMPALA,202,3.6,6,6,Automatic,22,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Chevrolet IMPALA,174,3.6,6,6,Automatic,22,Naturally Aspirated,Y,"2-Wheel Drive, Front",85,Regular Unleaded Recommended,2,2,Direct ignition
Chrysler 300,4,3.6,6,8,Automatic,23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Chrysler 300,5,3.6,6,8,Automatic,23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",85,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Chrysler 300,6,5.7,8,8,Automatic,19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,Multipoint/sequential ignition
Chrysler 300 AWD,8,3.6,6,8,Automatic,21,Naturally Aspirated,Y,All Wheel Drive,85,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Chrysler 300 AWD,7,3.6,6,8,Automatic,21,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Dodge Charger,12,3.6,6,8,Automatic,23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Dodge Charger,13,3.6,6,8,Automatic,23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",85,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Dodge Charger,14,5.7,8,8,Automatic,19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,1,1,Multipoint/sequential ignition
Dodge Charger,15,6.4,8,8,Automatic,18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Multipoint/sequential ignition
Dodge Charger AWD,20,3.6,6,8,Automatic,21,Naturally Aspirated,Y,All Wheel Drive,85,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Dodge Charger AWD,19,3.6,6,8,Automatic,21,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Dodge Charger SRT,16,6.2,8,8,Automatic,16,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Multipoint/sequential ignition
Dodge Charger SRT,17,6.4,8,8,Automatic,18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,Multipoint/sequential ignition
Ford C-MAX Hybrid FWD,63,2,4,1,CVT,40,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Ford TAURUS AWD,159,3.5,6,6,Automatic,19,Turbocharged/Supercharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,Direct ignition
Ford TAURUS AWD,160,3.5,6,6,Automatic,19,Naturally Aspirated,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Ford TAURUS AWD FFV,163,3.5,6,6,Automatic,19,Naturally Aspirated,Y,All Wheel Drive,85,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Ford TAURUS FWD,161,3.5,6,6,Automatic,21,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
Ford TAURUS FWD FFV,164,3.5,6,6,Automatic,21,Naturally Aspirated,Y,"2-Wheel Drive, Front",85,Regular Unleaded Recommended,2,2,Multipoint/sequential ignition
GENESIS G80 AWD,1,3.3,6,8,Automatic,20,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,Direct ignition
GENESIS G80 AWD,3,3.8,6,8,Automatic,20,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,Direct ignition
GENESIS G80 AWD,5,5,8,8,Automatic,18,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
GENESIS G80 RWD,2,3.3,6,8,Automatic,20,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
GENESIS G80 RWD,4,3.8,6,8,Automatic,22,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,Direct ignition
GENESIS G80 RWD,6,5,8,8,Automatic,19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
GENESIS G90 AWD,25,3.3,6,8,Automatic,20,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
GENESIS G90 AWD,27,5,8,8,Automatic,18,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
GENESIS G90 RWD,26,3.3,6,8,Automatic,20,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
GENESIS G90 RWD,28,5,8,8,Automatic,19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Honda ACCORD,32,1.5,4,1,CVT,33,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Honda ACCORD,33,1.5,4,7,CVT,31,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Honda ACCORD,31,1.5,4,6,Manual,30,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Honda ACCORD,51,2,4,10,Automatic,27,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Honda ACCORD,50,2,4,6,Manual,26,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Honda CIVIC 5Dr,22,1.5,4,1,CVT,34,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Honda CIVIC 5Dr,23,1.5,4,7,CVT,32,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Honda CIVIC 5Dr,20,1.5,4,6,Manual,33,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,Direct ignition
Honda CIVIC 5Dr,21,1.5,4,6,Manual,33,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
Honda CIVIC 5Dr,24,2,4,6,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Elantra GT,21,1.6,4,7,Manual,28,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Elantra GT,22,1.6,4,6,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Elantra GT,23,2,4,6,Automatic,27,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Elantra GT,24,2,4,6,Manual,26,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Ioniq,44,1.6,4,6,Manual,55,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Ioniq Blue,38,1.6,4,6,Manual,58,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Sonata,29,1.6,4,7,Manual,31,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Sonata,20,2,4,8,Automatic,26,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Sonata,18,2.4,4,6,Automatic,28,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
HYUNDAI MOTOR COMPANY Sonata SE,19,2.4,4,6,Automatic,29,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Jaguar XJ,354,3,6,8,Automatic,21,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XJ,352,5,8,8,Automatic,18,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XJ AWD,355,3,6,8,Automatic,20,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XJL,362,3,6,8,Automatic,21,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XJL,353,5,8,8,Automatic,18,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
Jaguar XJL AWD,356,3,6,8,Automatic,20,Turbocharged/Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Cadenza,46,3.3,6,8,Automatic,23,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Forte5,34,1.6,4,7,Manual,27,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Forte5,35,1.6,4,6,Manual,25,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Forte5,33,2,4,6,Automatic,28,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION K900,18,3.8,6,8,Automatic,20,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Regular Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION K900,17,5,8,8,Automatic,18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Optima,26,1.6,4,7,Manual,31,Turbocharged/Supercharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Optima,8,2,4,6,Automatic,25,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Optima,9,2.4,4,6,Automatic,28,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
KIA MOTORS CORPORATION Optima FE,10,2.4,4,6,Automatic,29,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Lincoln CONTINENTAL AWD,69,2.7,6,6,Automatic,20,Turbocharged/Supercharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,Direct ignition
Lincoln CONTINENTAL AWD,73,3,6,6,Automatic,19,Turbocharged/Supercharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,Direct ignition
Lincoln CONTINENTAL AWD,72,3.7,6,6,Automatic,19,Naturally Aspirated,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,Direct ignition
Lincoln CONTINENTAL FWD,70,2.7,6,6,Automatic,21,Turbocharged/Supercharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
Lincoln CONTINENTAL FWD,71,3.7,6,6,Automatic,20,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,Direct ignition
MASERATI QUATTROPORTE S,37,3,6,8,Automatic,18,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
MASERATI QUATTROPORTE SQ4 V6,33,3,6,8,Automatic,18,Turbocharged/Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
MASERATI QUATTROPORTE V8,30,3.8,8,8,Automatic,17,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG S 63 4MATIC,205,4,8,9,Automatic,20,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz AMG S 65,208,6,12,7,Automatic,16,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,1,Multipoint/sequential ignition
Mercedes-Benz Maybach S 650,203,6,12,7,Automatic,16,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,1,Multipoint/sequential ignition
Mercedes-Benz S 450,520,3,6,9,Automatic,22,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz S 450 4MATIC,521,3,6,9,Automatic,22,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz S 560 4MATIC,207,4,8,9,Automatic,21,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Mercedes-Benz S 560 4MATIC Maybach,326,4,8,9,Automatic,19,Turbocharged/Supercharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche Panamera,601,3,6,8,Manual,24,Turbocharged/Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,Direct ignition
Porsche Panamera 4,606,3,6,8,Manual,23,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche Panamera 4 Executive,607,3,6,8,Manual,23,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche Panamera 4S,616,2.9,6,8,Manual,23,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche Panamera 4S Executive,617,2.9,6,8,Manual,23,Turbocharged/Supercharged,N,4-Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche Panamera Turbo,631,4,8,8,Manual,21,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Porsche Panamera Turbo Executive,632,4,8,8,Manual,21,Turbocharged/Supercharged,N,All Wheel Drive,10,Premium Unleaded Required,2,2,Direct ignition
Rolls-Royce Motor Cars Limited Ghost,5,6.6,12,8,Automatic,14,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
Rolls-Royce Motor Cars Limited Ghost EWB,6,6.6,12,8,Automatic,14,Turbocharged/Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,Direct ignition
